emp_id,salary,dob
1,53264,19-11-22
2,41105,29-10-20
3,43272,27-02-19
4,85417,03-01-20
5,52111,05-05-21
6,40251,06-10-20
7,87344,06-03-22
8,48365,22-11-20
9,41916,09-07-20
10,85185,11-11-21
11,61742,09-07-19
12,99687,16-11-19
13,90459,17-06-22
14,60761,23-02-22
15,68636,19-02-20
16,95981,07-12-22
17,61644,20-07-21
18,61286,13-07-19
19,97802,23-04-19
20,60749,19-08-21
21,89809,01-07-19
22,41162,09-04-22
23,53793,04-09-20
24,93983,17-08-19
25,54224,08-07-21
26,51612,04-03-21
27,99323,23-04-22
28,81919,24-10-22
29,99984,02-08-21
30,56584,30-08-21
31,95214,09-04-19
32,63275,11-12-22
33,51979,09-02-19
34,93758,09-04-22
35,89455,13-08-21
36,93021,20-11-20
37,55410,09-05-21
38,68574,03-11-21
39,97748,11-06-20
40,80996,21-12-18
41,94536,16-03-20
42,87279,31-07-22
43,53111,27-05-22
44,61103,17-02-21
45,69761,23-12-18
46,51709,17-03-21
47,65518,13-07-21
48,62039,15-09-22
49,67172,03-04-22
50,75408,02-12-19
51,53382,19-11-20
52,84054,12-04-19
53,65754,09-01-21
54,70019,11-12-19
55,75335,02-02-20
56,52554,07-09-20
57,61770,19-02-20
58,89341,03-10-21
59,86865,13-11-21
60,79143,05-09-21
61,84179,03-11-22
62,49202,24-08-21
63,55648,22-11-21
64,54254,10-08-20
65,53678,10-03-21
66,84868,30-06-21
67,82899,24-02-20
68,77435,16-09-21
69,60725,14-06-20
70,80706,19-04-20
71,73399,10-07-20
72,98903,17-11-21
73,67688,26-06-19
74,92705,24-01-21
75,98973,23-02-20
76,83305,17-06-22
77,77628,17-11-19
78,67289,15-12-19
79,88438,24-12-19
80,63516,22-09-20
81,55968,18-05-20
82,75272,08-09-19
83,60535,09-12-20
84,97083,29-04-20
85,67375,07-07-19
86,81790,04-06-21
87,55989,31-07-20
88,65594,10-03-22
89,67599,27-10-20
90,40247,20-09-20
91,96648,16-05-21
92,55869,07-02-19
93,71990,24-10-22
94,75230,28-02-19
95,71059,23-07-19
96,79226,26-01-20
97,99036,01-12-22
98,83865,08-11-21
99,62922,24-03-20
100,74946,20-01-21
