emp_id,salary,dob
1,92658,09-03-22
2,62985,22-11-22
3,87568,11-03-19
4,43749,24-01-22
5,44704,26-12-19
6,99754,31-12-18
7,58959,01-03-22
8,50786,27-08-22
9,40894,07-05-19
10,49146,15-11-22
11,41473,19-11-22
12,96154,11-09-19
13,41127,14-10-20
14,78926,07-12-19
15,70525,18-04-19
16,81958,19-06-19
17,63423,18-10-21
18,94455,23-05-20
19,70941,13-05-22
20,57749,22-01-21
21,74103,23-05-22
22,92368,03-05-19
23,91240,23-09-21
24,84024,19-09-19
25,72234,22-07-20
26,51402,09-10-22
27,65653,18-03-19
28,70753,18-03-20
29,42833,25-05-21
30,94773,29-10-21
31,54035,18-08-22
32,75460,21-08-21
33,54144,15-12-20
34,95915,13-02-21
35,46363,06-03-20
36,86125,16-01-22
37,85250,08-03-22
38,91094,23-02-21
39,48209,23-11-21
40,83648,25-06-21
41,45665,13-12-19
42,75084,22-05-20
43,76229,10-10-22
44,41189,28-07-20
45,67877,07-10-20
46,63175,12-01-22
47,81735,07-11-22
48,82392,08-08-21
49,86496,04-11-22
50,52976,30-07-20
51,49830,15-09-21
52,94106,17-05-20
53,86797,08-09-21
54,83852,13-05-19
55,44651,01-09-19
56,70793,04-06-20
57,93448,09-04-19
58,87454,29-07-22
59,94555,10-11-21
60,43071,17-12-19
61,48972,02-09-21
62,54052,23-03-22
63,73164,04-06-22
64,54712,28-06-22
65,88195,29-06-21
66,75467,05-04-21
67,89766,27-01-21
68,87858,19-05-21
69,57581,23-06-22
70,43655,09-01-21
71,45045,14-09-22
72,56685,12-11-21
73,46671,03-11-22
74,75087,27-10-20
75,86289,28-04-19
76,95015,10-04-22
77,90778,10-09-21
78,44572,09-02-22
79,75759,15-10-21
80,69173,12-09-20
81,54004,20-05-20
82,93637,20-12-20
83,42372,26-09-21
84,51287,15-12-21
85,45957,18-10-19
86,49216,24-07-20
87,76058,20-08-20
88,65969,15-01-22
89,54214,10-02-19
90,78300,01-12-21
91,95075,10-04-21
92,66414,14-10-21
93,55310,31-08-19
94,82800,12-05-20
95,43349,13-08-19
96,58008,19-09-21
97,93412,23-05-20
98,79864,27-10-22
99,78675,21-05-22
100,87124,21-10-19
